ENTRY	DEFINITION	EC
K22665	NACHT, LRR and PYD domains-containing protein 13
K22666	NACHT, LRR and PYD domains-containing protein 14
K22667	interleukin 20
K22668	interleukin 24
K22669	interferon lambda 2/3
K22670	bone morphogenetic protein 10
K22671	C-C motif chemokine 9
K22672	growth differentiation factor 3
K22673	growth differentiation factor 9
K22674	growth differentiation factor 10
K22675	C motif chemokine 2
K22676	cis-2,3-dihydrobiphenyl-2,3-diol/cis-2,3-dihydrodiol-DDE dehydrogenase	1.3.1.-
K22677	2,6-dioxo-6-phenylhexa-3-enoate/TCOA hydrolase	3.7.1.-
K22678	DDT-dehydrochlorinase	4.5.1.1
K22679	growth differentiation factor 11
K22680	c-type lectin domain family 2 member A
K22681	c-type lectin domain family 2 member L
K22682	c-type lectin domain family 18
K22683	aspartyl protease family protein	3.4.23.-
K22684	metacaspase-1	3.4.22.-
K22685	DNA-dependent metalloprotease WSS1	3.4.24.-
K22686	pro-apoptotic serine protease NMA111	3.4.21.-
K22687	inhibin beta B chain
K22688	inhibin beta C chain
K22689	inhibin beta E chain
K22690	exo-cleaving rubber dioxygenase	1.13.11.85
K22691	drimenol monooxygenase	1.14.14.72
K22692	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] brominase	1.14.19.57
K22693	tryptophan 5-halogenase	1.14.19.58
K22694	tryptophan 6-halogenase	1.14.19.59
K22695	7-chloro-L-tryptophan 6-halogenase	1.14.19.60
K22696	protein-lysine N-methyltransferase EEF2KMT	2.1.1.-
K22697	sphingomyelin synthase-related protein 1
K22698	protein SEY1	3.6.5.-
K22699	sulfide-dependent adenosine diphosphate thiazole synthase	2.4.2.59
K22700	Zinc finger CCHC domain-containing protein 2
K22701	tumor necrosis factor receptor superfamily member 10C
K22702	tumor necrosis factor receptor superfamily member 10D
K22703	hydroxy-3-indolylmethylglucosinolate O-methyltransferase	2.1.1.-
K22704	hopanoid C-3 methylase	2.1.1.-
K22705	hopanoid C-2 methylase	2.1.1.-
K22706	(R)-mandelonitrile beta-glucosyltransferase	2.4.1.354
K22707	sordaricin 6-deoxyaltrosyltransferase	2.4.1.353
K22708	poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase	2.4.1.355
K22709	poly(ribitol-phosphate) beta-glucosyltransferase	2.4.1.53
K22710	poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase	2.4.1.70
K22711	LysR family transcriptional regulator, pyoluteorin biosynthesis regulator
K22712	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase	1.14.19.56
K22713	thioesterase	3.1.2.-
K22714	polyketide synthase
K22715	dibenzofuran dioxygenase subunit alpha	1.14.12.-
K22716	dibenzofuran dioxygenase subunit beta	1.14.12.-
K22717	2-hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate hydrolase	3.7.1.-
K22718	divisome-associated membrane protein
K22719	murein hydrolase activator
K22720	surface composition regulator
K22721	inositol phosphorylceramide mannosyltransferase catalytic subunit	2.4.1.370
K22722	inositol phosphorylceramide mannosyltransferase regulatory subunit
K22723	inositol phosphorylceramide synthase catalytic subunit	2.7.1.227
K22724	inositol phosphorylceramide synthase regulatory subunit
K22725	mannosyl-inositol-phosphoceramide inositolphosphotransferase	2.7.1.228
K22726	helvolic acid biosynthesis cytochrome P450 monooxygenase
K22727	helvolic acid biosynthesis cytochrome P450 monooxygenase
K22728	helvolic acid biosynthesis cytochrome P450 monooxygenase
K22729	helvolic acid biosynthesis dehydrogenase/reductase
K22730	helvolic acid biosynthesis C6-acyltransferase
K22731	helvolic acid biosynthesis cytochrome C16-acyltransferase
K22732	helvolic acid biosynthesis 3-ketosteroid Delta1-dehydrogenase
K22733	magnesium transporter
K22734	progressive ankylosis protein
K22735	sodium/potassium-transporting ATPase subunit beta-1-interacting protein
K22736	vacuolar iron transporter family protein
K22737	erythrin-vacuolar iron transport family protein
K22738	PDF receptor
K22739	2-(2-aminopropanamido)benzoic acid synthetase
K22740	pseurotin biosynthesis cytochrome P450 monooxygenase
K22741	pseurotin biosynthesis methyltransferase	2.1.1.-
K22742	pseurotin biosynthesis glutathione S-transferase
K22743	pseurotin biosynthesis epoxidase/methyltransferase
K22744	apoptosis regulatory protein Siva
K22745	apoptosis-inducing factor 2
K22746	anamorsin
K22747	apoptosis-inducing factor 3
K22748	[histone H3]-lysine4 N-trimethyltransferase ATXR3	2.1.1.354
K22749	glycine N-acyltransferase	2.3.1.13
K22750	glycine N-acyltransferase-like protein 3	2.3.1.-
K22751	CBFA2/RUNX1 translocation partner 2
K22752	CBFA2/RUNX1 translocation partner 3
K22753	E3 ubiquitin-protein ligase RNF6	2.3.2.27
K22754	E3 ubiquitin-protein ligase RNF213	2.3.2.27
K22755	E3 UFM1-protein ligase 1	2.3.2.-
K22756	E3 SUMO-protein ligase NSE2	2.3.2.-
K22757	glutaminyl-peptide cyclotransferase	2.3.2.5
K22758	coiled-coil-helix-coiled-coil-helix domain-containing protein 2
K22759	coiled-coil-helix-coiled-coil-helix domain-containing protein 10
K22760	CXXC-type zinc finger protein 5
K22761	DNA-directed primase/polymerase protein	2.7.7.102 2.7.7.7
K22762	desumoylating isopeptidase 1	3.4.-.-
K22763	deubiquitinase DESI2	3.4.19.12
K22764	transmembrane protein 107
K22765	transmembrane protein 237
K22766	fidgetin-like protein 1	3.6.4.-
K22767	histone acetyltransferase MCC1	2.3.1.48
K22768	methyl-CpG-binding domain-containing protein 9	2.3.1.48
K22769	NADPH-dependent stearoyl-CoA 9-desaturase	1.14.19.-
K22770	stearoyl-CoA 9-desaturase NADPH oxidoreductase
K22771	flavonol-3-O-L-rhamnoside-7-O-glucosyltransferase	2.4.1.-
K22772	flavonol-3-O-glucoside L-rhamnosyltransferase	2.4.1.159
K22773	Betaherpesvirinae envelope glycoprotein B
K22774	HCMV immediate-early protein 1
K22775	Cytomegalovirus viral transcription factor IE2
K22776	Cytomegalovirus apoptosis inhibitor UL38
K22777	Cytomegalovirus envelope glycoprotein H
K22778	Cytomegalovirus envelope glycoprotein L
K22779	Cytomegalovirus tegument protein pp71
K22780	Cytomegalovirus tegument protein UL26
K22781	HCMV envelope protein US28
K22782	Cytomegalovirus G-protein coupled receptor UL33
K22783	HCMV envelope glycoprotein US27
K22784	HCMV glycoprotein UL22A
K22785	HCMV membrane glycoprotein US6
K22786	HCMV membrane glycoprotein US11
K22787	HCMV membrane glycoprotein US3
K22788	Cytomegalovirus viral inhibitor of caspase-8-induced apoptosis
K22789	UL37 HCMV immediate early glycoprotein
K22790	octopamine receptor beta
K22791	tyramine receptor
K22792	trissin receptor
K22793	Mas-related G protein-coupled receptor member H
K22794	flavonol-3-O-glucoside/galactoside glucosyltransferase	2.4.1.239 2.4.1.-
K22795	2-O-sulfo trehalose long-chain-acyltransferase	2.3.1.288
K22796	diacyltrehalose acyltransferase	2.3.1.-
K22797	diglucosylglycerate octanoyltransferase	2.3.1.273
K22798	anthranilate-CoA-ACP transferase	6.2.1.-
K22799	2-methyl-4-hydroxyquinoline prenyltransferase	2.5.1.-
K22800	aurachin D monooxygenase	1.14.13.-
K22801	aurachin B monooxygenase	1.14.13.-
K22802	aurichin B epoxide hydrolase
K22803	structural maintenance of chromosomes protein 5
K22804	structural maintenance of chromosomes protein 6
K22805	protein FAM84A
K22806	DNA repair-scaffolding protein
K22807	werner syndrome-like exonuclease	3.1.11.-
K22808	KN motif and ankyrin repeat domain-containing protein
K22809	inositol phosphorylceramide glucuronosyltransferase 1	2.4.1.-
K22810	protein FAM84B
K22811	thalian-diol desaturase
K22812	thalianol hydroxylase
K22813	bisphosphomevalonate decarboxylase	4.1.1.110
K22814	octopamine receptor alpha
K22815	octopamine/tyramine receptor
K22816	protein canopy 3/4
K22817	non-structural maintenance of chromosomes element 1	2.3.2.27
K22818	3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit	1.3.99.-
K22819	3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit	1.3.99.-
K22820	3-oxochol-4-en-24-oyl-CoA dehydrogenase	1.3.99.-
K22821	3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase alpha subunit	1.3.99.-
K22822	3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase beta subunit	1.3.99.-
K22823	non-structural maintenance of chromosomes element 3
K22824	pre-mRNA-splicing regulator WTAP
K22825	non-structural maintenance of chromosomes element 4
K22826	EP300-interacting inhibitor of differentiation 3
K22827	calcium uptake protein 1, mitochondrial
K22828	calcium uptake protein 2, mitochondrial
K22829	calcium uniporter regulatory subunit MCUb, mitochondrial
K22830	essential MCU regulator, mitochondrial
K22831	1-acylglycerol-3-phosphate O-acyltransferase	2.3.1.51
K22832	1,3-beta-glucanosyltransferase GAS1	2.4.1.-
K22833	1,3-beta-glucanosyltransferase GAS2	2.4.1.-
K22834	1,3-beta-glucanosyltransferase GAS3	2.4.1.-
K22835	1,3-beta-glucanosyltransferase GAS4	2.4.1.-
K22836	1,3-beta-glucanosyltransferase GAS5	2.4.1.-
K22837	SAMP-activating enzyme	2.7.7.100
K22838	2-acetylphloroglucinol acetyltransferase	2.3.1.272
K22839	2-acetylphloroglucinol acetyltransferase	2.3.1.272
K22840	2-acetylphloroglucinol acetyltransferase	2.3.1.272
K22841	3-geranyl-3-[(Z)-2-isocyanoethenyl]indole synthase	2.5.1.146
K22842	L-glutamate-5-semialdehyde N-acetyltransferase	2.3.1.271
K22843	ETFB lysine methyltransferase	2.1.1.-
K22844	glucosyl-dolichyl phosphate glucuronosyltransferase	2.4.1.356
K22845	phlorizin synthase	2.4.1.357
K22846	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)	2.5.1.144
K22847	S-sulfo-L-cysteine synthase (3-phospho-L-serine-dependent)	2.8.5.1
K22848	diacylglycerol O-acyltransferase 2, plant	2.3.1.20
K22849	diacylglycerol O-acyltransferase 3, plant	2.3.1.20
K22850	CFA/I fimbrial subunit A
K22851	CFA/I fimbrial subunit B
K22852	CFA/I fimbrial subunit C
K22853	CFA/I fimbrial subunit E
K22854	CFA/I fimbrial subunit D
K22855	EEF1A lysine methyltransferase 1	2.1.1.-
K22856	EEF1A lysine methyltransferase 2	2.1.1.-
K22857	EEF1A lysine methyltransferase 4	2.1.1.-
K22858	protein JBTS26
K22859	protein JBTS17
K22860	REM2 and Rab-like small GTPase 1
K22861	protein fuzzy
K22862	protein inturned
K22863	WD repeat-containing and planar cell polarity effector protein
K22864	LisH domain-containing protein ARMC9
K22865	protein TALPID3
K22866	tctex1 domain-containing protein 2
K22867	transmembrane protein 138
K22868	WD repeat-containing protein 34
K22869	WD repeat-containing protein 60
K22870	zinc finger protein 423
K22871	adenylate dimethylallyltransferase	2.5.1.27
K22872	allatostatin C receptor
K22873	protein trapped in endoderm-1
K22874	L-tyrosine isonitrile desaturase/decarboxylase	1.14.20.9 1.14.20.10
K22875	dihydrorhizobitoxine desaturase	1.14.19.61
K22876	3-[(Z)-2-isocyanoethenyl]-1H-indole synthase	1.14.20.11
K22877	3-[(E)-2-isocyanoethenyl]-1H-indole synthase	1.14.20.12
K22878	cytochrome P450 daf-9	1.14.15.15
K22879	FAD-dependent urate hydroxylase	1.14.13.113
K22880	phenylacetonitrile alpha-monooxygenase	1.14.14.77
K22881	polyhydroxyalkanoate synthase subunit PhaE
K22882	thymidylate synthase	2.1.1.-
K22883	L-ornithine N5-acetyltransferase	2.3.1.-
K22884	N5-hydroxyornithine acetyltransferase	2.3.1.-
K22885	dTDP-4-amino-4,6-dideoxyglucose formyltransferase	2.3.1.-
K22886	protein lysine acetyltransferase	2.3.1.-
K22887	long-chain fatty acid omega-monooxygenase	1.14.14.80
K22888	histidine N-acetyltransferase	2.3.1.33
K22889	trichothecene 3-O-acetyltransferase	2.3.1.-
K22890	HIV-1 protein Vpu
K22891	HIV-1 protein Nef
K22892	HIV-1 virion infectivity factor
K22893	serine/threonine kinase PknH	2.7.11.1
K22894	SARP family transcriptional regulator, regulator of embCAB operon
K22895	renierapurpurin 18,18'-hydroxylase
K22896	vanadium-dependent nitrogenase alpha chain	1.18.6.2
K22897	vanadium-dependent nitrogenase beta chain	1.18.6.2
K22898	vanadium nitrogenase delta subunit	1.18.6.2
K22899	vanadium nitrogenase iron protein
K22900	tRNA (adenine37-N6)-methyltransferase	2.1.1.-
K22901	tRNA (cytosine40_48-C5)-methyltransferase	2.1.1.-
K22902	D-galactosaminyltransferase
K22903	nitrogenase vanadium-cofactor synthesis protein VnfE
K22904	presqualene diphosphate phosphatase	3.1.3.-
K22905	omega-hydroxy-beta-dihydromenaquinone-9 sulfotransferase	2.8.2.-
K22906	phloretin hydrolase	3.7.1.4
K22907	polyprenyl-phospho-N-acetylgalactosaminyl synthase
K22908	mannosylglucosylglycerate synthase	2.4.1.-
K22909	zinc finger CCCH domain-containing protein 13
K22910	protein virilizer
K22911	thiamine phosphate phosphatase / amino-HMP aminohydrolase	3.1.3.100 3.5.99.-
K22912	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	3.1.3.104
K22913	phosphatidylinositol 3,5-bisphosphate 5-phosphatase	3.1.3.-
K22914	Vi polysaccharide biosynthesis protein TviA
K22915	Vi polysaccharide biosynthesis protein TviD
K22916	Vi polysaccharide biosynthesis protein TviE
K22917	Vi polysaccharide export protein VexE
K22918	typhoid toxin secretion A
K22919	dopamine/ecdysteroid receptor
K22920	UTP---glucose-1-phosphate uridylyltransferase	2.7.7.9
K22921	Vi polysaccharide transport system permease protein
K22922	Vi polysaccharide transport system permease protein
K22923	Vi polysaccharide transport system ATP-binding protein	7.6.2.12
K22924	Vi polysaccharide export protein VexA
K22925	UDP-N-acetylglucosaminuronic acid 4-epimerase	5.1.3.-
K22926	UDP-N-acetylglucosamine 6-dehydrogenase	1.1.1.136
K22927	cyclic-di-AMP phosphodiesterase	3.1.4.59
K22928	2'-deoxynucleoside 5'-phosphate N-hydrolase	3.2.2.-
K22929	labda-7,13(16),14-triene synthase	4.2.3.192
K22930	(12E)-labda-8(17),12,14-triene synthase	4.2.3.193
K22931	(+)-kolavenyl diphosphate synthase	5.5.1.29
K22932	isoflavone 3'-hydroxylase	1.14.14.88
K22933	galacturan 1,4-alpha-galacturonidase	3.2.1.67
K22934	alpha,alpha-trehalase	3.2.1.28
K22935	D-ribulokinase	2.7.1.47
K22936	protein canopy 1/2
K22937	lysosomal-trafficking regulator
K22938	serologically defined colon cancer antigen 3
K22939	immediate early response 3-interacting protein 1
K22940	protein YIPF1/2
K22941	protein YIPF3
K22942	protein YIPF4
K22943	protein YIPF6
K22944	bifunctional hemolysin/adenylate cyclase	4.6.1.1
K22945	nezukol synthase	4.2.3.183
K22946	ent-8alpha-hydroxylabd-13-en-15-yl diphosphate synthase	4.2.1.173
K22947	ent-13-epi-manoyl oxide synthase	4.2.3.186
K22948	(-)-kolavenyl diphosphate synthase	5.5.1.28
K22949	FAD synthetase	2.7.7.2
K22950	acylphloroglucinol glucosyltransferase	2.4.1.358
K22951	HIV Gag or Gag-Pol polyprotein
K22952	L-tyrosine isonitrile synthase	4.1.99.24
K22953	L-tryptophan isonitrile synthase	4.1.99.25
K22954	acyl homoserine lactone synthase	2.3.1.184
K22955	acyl homoserine lactone synthase	2.3.1.184
K22956	acyl homoserine lactone synthase	2.3.1.184
K22957	acyl homoserine lactone synthase	2.3.1.184
K22958	gallate decarboxylase subunit C	4.1.1.59
K22959	gallate decarboxylase subunit B
K22960	gallate decarboxylase subunit D
K22961	G protein-coupled receptor 179
K22962	nitrite dismutase	1.7.6.1
K22963	linalool isomerase	5.4.4.8
K22964	pre-alpha-onocerin synthase	5.4.99.65
K22965	alpha-onocerin synthase	5.4.99.66
K22966	sulfate adenylyltransferase (ADP) / adenylylsulfatase	2.7.7.5 3.6.2.1
K22967	(-)-drimenol synthase	4.2.3.194
K22968	acyl homoserine lactone synthase	2.3.1.184
K22969	glucose 1-dehydrogenase	1.1.1.47
K22970	17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase	1.1.1.62 1.1.1.270
K22971	hapalindole H/12-epi-hapalindole U/12-epi-fischerindole U synthase	5.5.1.31 5.5.1.32 5.5.1.33
K22972	EBV large tegment protein deneddylase	3.4.19.12
K22973	EBV secreted protein BARF1
K22974	EBV protein BNLF2a
K22975	EBV G-protein coupled receptor BILF1
K22976	anthrax toxin expression trans-acting positive regulator
K22977	capsule synthesis positive regulator AcpA
K22978	(+)-eremophilene synthase	4.2.3.164
K22979	(+)-eremophilene synthase	4.2.3.164
K22980	capsule synthesis positive regulator AcpB
K22981	gamma-polyglutamate biosynthesis protein CapE
K22982	hydroxypyruvate reductase	1.1.1.81
K22983	cytochrome P450 family 76 subfamily A
K22984	odorant receptor
K22985	G protein-coupled receptor 107
K22986	G protein-coupled receptor 108
K22987	cAMP receptor-like G-protein coupled receptor
K22988	transmembrane protein adipocyte-associated 1
K22989	integral membrane protein GPR137
K22990	torsin-1
K22991	WD repeat-containing protein 45
K22992	cytochrome P450 family 628
K22993	bifunctional Delta-12/omega-3 fatty acid desaturase	1.14.19.6 1.14.19.-
K22994	pectate disaccharide-lyase	4.2.2.9
K22995	(+)-piperitol/(+)-sesamin synthase	1.14.19.74
K22996	hapalindole-type alkaloid chlorinase	1.14.20.14
K22997	cyclooctat-9-en-7-ol 5-monooxygenase	1.14.99.61
K22998	cyclooctatin synthase	1.14.99.62
K22999	torsin-2A
K23000	torsin-3A
K23001	torsin-1A-interacting protein
K23002	RNA polymerase II-associated protein 3
K23003	L-galactose dehydrogenase	1.1.1.-
K23004	L-galactono-1,5-lactonase	3.1.1.-
K23005	L-galactonate 5-dehydrogenase	1.1.1.414
K23006	omega-3 fatty acid desaturase (Delta-15 desaturase)	1.14.19.-
K23007	L-galactonate 5-dehydrogenase	1.1.1.414
K23008	SUMO-specific isopeptidase USPL1	3.4.22.-
K23009	carboxypeptidase O	3.4.17.-
K23010	metalloendopeptidase OMA1, mitochondrial	3.4.24.-
K23011	serine protease 57	3.4.21.-
K23012	peroxisomal leader peptide-processing protease	3.4.21.-
K23013	dipeptidyl aminopeptidase-like protein 6
K23014	inactive dipeptidyl peptidase 10
K23015	GntR family transcriptional regulator, transcriptional activator for L-galactonate catabolism
K23016	MFS transporter, ACS family, L-galactonate transporter
K23017	HTLV-1 gag polyprotein
K23018	HTLV-1 rex polyprotein
K23019	5-aminosalicylate 1,2-dioxygenase	1.13.11.86
K23020	3,6-diketocamphane 1,6-monooxygenase	1.14.14.155
K23021	(2S,3R,6S,9S)-(-)-protoillud-7-ene synthase	4.2.3.160
K23022	(3S)-(+)-asterisca-2(9),6-diene synthase	4.2.3.161
K23023	(+)-corvol ether B/A synthase	4.2.3.163 4.2.3.171
K23024	(+)-(1E,4E,6S,7R)-germacra-1(10),4-dien-6-ol synthase	4.2.3.166
K23025	H+-translocating diphosphatase	7.1.3.1
K23026	LIM domain and actin-binding protein 1
K23027	myocilin
K23028	cytospin
K23029	EF-hand domain-containing protein 1
K23030	4-epi-cubebol synthase	4.2.3.170
K23031	10-epi-cubebol synthase	4.2.3.175
K23032	sesterfisherol synthase	4.2.3.176
K23033	terminal nucleotidyltransferase 5A/B	2.7.7.-
K23034	terminal nucleotidyltransferase 5C	2.7.7.19
K23035	terminal nucleotidyltransferase 5D	2.7.7.19
K23036	sn-2 palmitoyl-lipid 9-desaturase	1.14.19.27
K23037	beta-carotene 4-ketolase/3-hydroxylase	1.14.99.63 1.14.15.24 1.14.99.-
K23038	zinc finger CCCH domain-containing protein 14
K23039	nuclear polyadenylated RNA-binding protein NAB2
K23040	methyltransferase-like protein 22	2.1.1.-
K23041	deformed epidermal autoregulatory factor 1
K23042	peregrinol diphosphate synthase	4.2.1.174
K23043	(+)-isoafricanol synthase	4.2.3.157
K23044	selina-4(15),7(11)-diene synthase	4.2.3.181
K23045	pristinol synthase	4.2.3.182
K23046	(2Z,6E)-hedycaryol synthase	4.2.3.187
K23047	E3 ubiquitin-protein ligase UNKL	2.3.2.27
K23048	RING finger protein unkempt
K23049	headcase protein
K23050	phenylcoumaran benzylic ether reductase	1.3.1.-
K23051	NAD(P)H-quinone oxidoreductase subunit T, chloroplastic	7.1.1.-
K23052	NAD(P)H-quinone oxidoreductase subunit U, chloroplastic	7.1.1.-
K23053	flavonoid 4'-O-methyltransferase	2.1.1.231
K23054	sn-1 stearoyl-lipid 9-desaturase	1.14.19.28
K23055	putative lysine/arginine/ornithine/histidine/octopine transport system substrate-binding protein
K23056	putative lysine/arginine/ornithine/histidine/octopine transport system permease protein
K23057	putative lysine/arginine/ornithine/histidine/octopine transport system permease protein
K23058	putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein	7.4.2.1
K23059	arginine/lysine/histidine transporter system substrate-binding protein
K23060	arginine/lysine/histidine transport system ATP-binding protein	7.4.2.1
K23061	hydroxyproline transporter system substrate-binding protein
K23062	hydroxyproline transport system permease protein
K23063	hydroxyproline transport system permease protein
K23064	hydroxyproline transport system ATP-binding protein	7.4.2.1
K23065	swainsonine biosynthesis oxidoreductase SwnN	1.3.1.-
K23066	swainsonine biosynthesis dioxygenase SwnH1/2	1.14.11.-
K23067	beta-1,4-galactosyltransferase
K23068	HTLV-1 accessory protein p30II
K23069	HTLV-1 accessory protein p12I
K23070	HTLV-1 accessory protein p13
K23071	HTLV-1 basic zipper factor
K23072	O16-antigen biosynthesis beta-1,6-galactofuranosyltransferase	2.4.1.-
K23073	O16-antigen biosynthesis glucosyltransferase
K23074	EBV latent membrane protein 2B
K23075	glutathione amide-dependent peroxidase	1.11.1.17
K23076	glutathione amide reductase	1.8.1.16
K23077	dissimilatory sulfite reductase related protein
K23078	menaquinone C8-methyltransferase	2.1.1.350
K23079	glucosylglycerol phosphorylase (configuration-retaining)	2.4.1.359
K23080	cytosolic arginine sensor for mTORC1 subunit 1
K23081	cytosolic arginine sensor for mTORC1 subunit 2
K23082	3-deoxy-D-manno-octulosonic acid-hydrolase	3.2.1.144
K23083	3-deoxy-D-manno-octulosonic acid-hydrolase
K23084	lipopolysaccharide core galacturonosyltransferase RgtA	2.4.1.-
K23085	lipopolysaccharide core galacturonosyltransferase RgtB	2.4.1.-
K23086	glucosylglycerate hydrolase	3.2.1.208
K23087	tissue factor pathway inhibitor 2
K23088	vitamin A receptor/transporter (stra6) family protein
K23089	CCN family member 5
K23090	CCN family member 6
K23091	kremen protein
K23092	putative nucleotidyltransferase	2.7.7.-
K23093	U6 snRNA phosphodiesterase	3.1.4.-
K23094	2-carboxy-1,4-naphthoquinone phytyltransferase	2.5.1.130
K23095	demethylphylloquinol methyltransferase	2.1.1.329
K23096	repulsive guidance molecule A
K23097	R-spondin 2
K23098	R-spondin 3
K23099	R-spondin 4
K23100	hemojuvelin
K23101	O18-antigen biosynthesis glucosyltransferase
K23102	O18-antigen biosynthesis alpha-1,3-galactosyltransferase	2.4.1.-
K23103	O18-antigen biosynthesis glycosyltransferase	2.4.1.-
K23104	O111-antigen biosynthesis galactosyltransferase
K23105	O111-antigen biosynthesis colitosyltransferase	2.4.1.-
K23106	hepcidin
K23107	1-deoxyxylulose-5-phosphate synthase	1.1.-.-
K23108	benzoate---CoA ligase	6.2.1.25
K23109	aromatic 2-oxoacid reductase	1.1.1.110
K23110	(R)-3-(aryl)lactoyl-CoA dehydratase alpha subunit	4.2.1.175
K23111	(R)-3-(aryl)lactoyl-CoA dehydratase beta subunit	4.2.1.175
K23112	BRCA1-associated ATM activator 1
K23113	structural maintenance of chromosomes flexible hinge domain-containing protein 1
K23114	damage-control phosphatase, subfamily III	3.1.3.-
K23115	TELO2-interacting protein 2
K23116	hepatocyte cell adhesion molecule
K23117	endo-cleaving rubber dioxygenase	1.13.11.87
K23118	endo-cleaving rubber dioxygenase	1.13.11.87
K23119	very-long-chain acyl-lipid omega-9 desaturase	1.14.19.75
K23120	histidine 2-aminobutanoyltransferase	2.5.1.152 2.5.1.-
K23121	trans-4-hydroxy-L-proline dehydratase	4.2.1.172
K23122	staphylopine/pseudopaline/yersinopine synthase	1.5.1.52 1.5.1.-
K23123	5-oxoprolinase (ATP-hydrolysing) subunit B	3.5.2.9
K23124	5-oxoprolinase (ATP-hydrolysing) subunit C	3.5.2.9
K23125	beta-defensin 1
K23126	beta-defensin 103
K23127	cyclic-di-GMP-binding protein
K23128	HBV large envelope protein
K23129	HBV capsid protein
K23130	O157-antigen biosynthesis beta-1,3-glucosyltransferase
K23131	O157-antigen biosynthesis glycosyltransferase
K23132	O157-antigen biosynthesis glycosyltransferase
K23133	competence-stimulating peptide
K23134	dolabradiene monooxygenase / zealexin A1 synthase	1.14.14.159 1.14.14.160
K23135	flavanone 2-hydroxylase	1.14.14.162
K23136	fraxetin 5-hydroxylase	1.14.14.164
K23137	indole-3-carbonyl nitrile 4-hydroxylase	1.14.14.165
K23138	cytochrome P450 family 109	1.14.-.-
K23139	cytochrome P450 family 110	1.14.-.-
K23140	metastasis-suppressor KiSS-1
K23141	neuropeptide W
K23142	urcortin
K23143	tuberoinfundibular peptide of 39 residues
K23144	UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase	2.7.7.23 2.7.7.24 2.7.7.83 2.3.1.157 2.3.1.276
K23145	scopoletin 8-hydroxylase	1.14.11.60
K23146	3-hydroxyisobutyrate/3-hydroxypropionate dehydrogenase	1.1.1.31 1.1.1.59
K23147	aminoimidazole riboside kinase	2.7.1.223
K23148	cytidine diphosphoramidate kinase	2.7.1.224
K23149	5-phospho-D-xylono-1,4-lactonase	3.1.1.104
K23150	N5-(cytidine 5'-diphosphoramidyl)-L-glutamine hydrolase	3.5.1.129
K23151	methyltransferase-like protein 23	2.1.1.-
K23152	lycopaoctaene synthase	2.5.1.148
K23153	nocamycin O-methyltransferase	2.1.1.351
K23154	2-hydroxyflavanone C-glucosyltransferase	2.4.1.360
K23155	lycopene elongase/hydratase (flavuxanthin-forming)	2.5.1.149
K23156	mycolipenoyl-CoA---2-(long-chain-fatty acyl)-trehalose mycolipenoyltransferase / long-chain-acyl-CoA---trehalose acyltransferase	2.3.1.278 2.3.1.279
K23157	3-O-acetyl-4'-O-demethylpapaveroxine 4'-O-methyltransferase subunit OMT2	2.1.1.352
K23158	3-O-acetyl-4'-O-demethylpapaveroxine 4'-O-methyltransferase subunit OMT3
K23159	lipid A 4'-phosphatase	3.1.3.-
K23160	GlcNAc transferase
K23161	magainin
K23162	melittin
K23163	sulfate/thiosulfate transport system substrate-binding protein
K23164	reticulon-4-interacting protein 1, mitochondrial
K23165	ubiquinol-cytochrome-c reductase complex assembly factor 3
K23166	optic atrophy 3 protein
K23167	synaptic vesicle membrane protein VAT-1
K23168	protein MPAN
K23169	UDP-N-acetylmuramoyl-L-alanine---L-glutamate ligase	6.3.2.53
K23170	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate epimerase	5.1.1.23
K23171	dolabradiene synthase	4.2.3.196
K23172	alpha-selinene synthase	4.2.3.198
K23173	(-)-5-epieremophilene synthase	4.2.3.199
K23174	beta-pinacene synthase	4.2.3.200
K23175	ribonuclease U2	4.6.1.20
K23176	methylthioxylose transferase
K23177	germacrene A acid 8beta-hydroxylase / 8-epi-inunolide synthase	1.14.14.168 1.14.14.170
K23178	eupatolide synthase	1.14.14.169
K23179	flavone synthase II	1.14.19.76
K23180	flavone synthase II	1.14.19.76
K23181	ferric citrate transport system substrate-binding protein
K23182	ferric citrate transport system permease protein
K23183	ferric citrate transport system permease protein
K23184	ferric citrate transport system ATP-binding protein	7.2.2.18
K23185	ferric enterobactin transport system substrate-binding protein
K23186	ferric enterobactin transport system permease protein
